stories_id,publish_date,title,url,language,ap_syndicated,inlink_count,facebook_share_count,outlink_count,media_inlink_count,media_id,media_name,media_url
659038846,7/8/17 18:07,Donald Trump Jr. gathered members of campaign for meeting with Russian lawyer before election,https://www.circa.com/story/2017/07/08/donald-trump-jr-met-with-russian-lawyer-during-election-but-didnt-follow-up,en,,24,7501,0,20,300739,circa.com,
661557329,7/9/17 9:48,Russian lawyer who got inside Donald Trump’s inner circle had been denied US visa,https://www.circa.com/story/2017/07/09/politics/russian-lawyer-who-got-inside-donald-trumps-inner-circle-had-been-denied-us-visa,en,,7,2382,0,5,300739,circa.com,
692010408,7/10/17 8:00,The Senate Judiciary Committee wants Donald Trump Jr. to testify about his meeting with a Russian lawyer,https://www.circa.com/story/2017/07/10/politics/trump-jr-was-told-russia-may-be-behind-possible-clinton-info,en,,0,3849,0,0,300739,circa.com,
655796990,7/11/17 18:44,Well Lookie Here=> Russian Lawyer Veselnitskaya is Pictured with Obama Ambassador to Russia &#8211; 8 Days After Trump Jr. Mtg.,http://www.thegatewaypundit.com/2017/07/well-lookie-russian-lawyer-veselnitskaya-pictured-obama-ambassador-russia-8-days-trump-jr-mtg/,en,,13,53397,1,10,25444,GatewayPundit,
656141637,7/12/17 10:18,Russian Lawyer Veselnitskaya Posted Picture on Facebook from inside John McCain&#8217;s Office,http://www.thegatewaypundit.com/2017/07/russian-lawyer-veselnitskaya-posted-picture-facebook-inside-john-mccains-office/,en,,3,22760,1,3,25444,GatewayPundit,
656952194,7/13/17 17:06,MELANIA TRUMP DAZZLES PARIS &#8211; Speaks French to Children at Paris Hospital,http://www.thegatewaypundit.com/2017/07/melania-trump-dazzles-paris-speaks-french-children-paris-hospital/,en,,1,7762,1,1,25444,GatewayPundit,
656141661,7/12/17 9:03,PRESIDENT TRUMP Defends Son Don Jr. from Democrat Media in Greatest Witchhunt in Political History,http://www.thegatewaypundit.com/2017/07/president-trump-defends-son-don-jr-democrat-media-greatest-witchhunt-political-history/,en,,1,402,0,1,25444,GatewayPundit,
656928215,7/13/17 9:37,Breaking: TOP HILLARY SUPPORTER Was Russian Lawyer Veselnitskaya&#8217;s Chaperone in Washington DC,http://www.thegatewaypundit.com/2017/07/breaking-top-hillary-supporter-russian-lawyer-veselnitskayas-chaperone-washington-dc/,en,,1,2925,1,1,25444,GatewayPundit,
656928145,7/13/17 14:29,POTUS TRUMP Defends Son in Paris: He&#8217;s a &#8220;Wonderful Young Man &#8211; Most People Would Have Taken That Meeting&#8221; (Video),http://www.thegatewaypundit.com/2017/07/potus-trump-defends-son-paris-hes-wonderful-young-man-people-taken-meeting-video/,en,,0,171,1,0,25444,GatewayPundit,
657607068,7/14/17 17:54,BREAKING: Russian &#8220;Spy&#8221; Rinat Akhmetshin at Trump Jr&#8217;s Russian Lawyer Meeting- WORKS WITH DEMOCRATIC FUSION GPS,http://www.thegatewaypundit.com/2017/07/breaking-russian-american-rinat-akhmetshin-trump-jr-russian-lawyer-meeting-works-democratic-fusion-gps/,en,,0,446,1,0,25444,GatewayPundit,
654703590,7/9/17 13:55,"THE PLOT THICKENS=> Russian Lawyer Who Met with Trump Team Denied US Visa, Entered with Special Permission",http://www.thegatewaypundit.com/2017/07/plot-thickens-russian-lawyer-met-trump-team-denied-us-visa-entered-special-permission/,en,,0,876,2,0,25444,GatewayPundit,
657666904,7/14/17 20:18,Russian Lawyer Veselnitskaya Brought Documents Showing &#8216;Flow of Illicit Funds to Dems&#8217;,http://www.thegatewaypundit.com/2017/07/russian-lawyer-veselnitskaya-brought-documents-showing-flow-illicit-funds-dems/,en,,0,765,1,0,25444,GatewayPundit,
654729602,7/9/17 18:43,Donald Trump Jr Releases Statement About Meeting with Russian Lawyer,http://www.thegatewaypundit.com/2017/07/donald-trump-jr-releases-statement-meeting-russian-lawyer/,en,,0,255,1,0,25444,GatewayPundit,
