Media,title,article
wsj,Main Street: It's Susan Collins's Moment,"If Brett Kavanaugh were on trial for sexual assault, all he'd need do is demonstrate reasonable doubt about the charges being made against him. But a Republican nominee to the Supreme Court is tried in the media, where Mr. Kavanaugh must now do the impossible: prove an assault never happened.
Christine Blasey Ford alleges that at a high-school party 36 years ago, 17-year-old Brett Kavanaugh pinned her to a bed, tried to remove her clothes, and covered her mouth so she couldn't scream. Ms. Ford, now a professor at California's Palo Alto University, says she was able to flee the room only after a friend of Mr. Kavanaugh's, Mark Judge, jumped on top of them and they all tumbled off the bed. Ms. Ford further says she didn't tell anyone what happened at the time.
Judge Kavanaugh's denial is categorical: ""I have never done anything like what the accuser describes -- to her or anyone,"" he said in a statement Monday. Mr. Judge likewise denies it all. ""It's just absolutely nuts,"" he told the Weekly Standard. ""I never saw Brett act that way.""
The truth is, no one knows what went on in that Maryland bedroom at that party -- or if Mr. Kavanaugh was even there. Absent corroborating testimony, even the Federal Bureau of Investigation would have no way to reveal much more.
So here we are, just days before what should have been a Thursday vote in the Senate Judiciary Committee. Since Ms. Ford's name became public, one member of that committee, Jeff Flake, the retiring Republican from Arizona, announced he wouldn't feel comfortable going ahead with a vote without a fuller airing of Ms. Ford's complaint. In a committee of 11 Republicans and 10 Democrats, Mr. Flake would give the Democrats the majority they need to stall a vote.
Republicans Bob Corker, the retiring senator from Tennessee, and Alaska's Lisa Murkowski have also come out against holding a vote until Ms. Ford can be heard. They are joined by Democratic incumbents facing tight election races in states carried by Donald Trump: Joe Donnelly (Ind.), Heidi Heitkamp (N.D.) and Joe Manchin (W.Va.). Though Democrats would love to kill the Kavanaugh nomination, the more practical aim is a lengthy delay that would spare these Democrats a tough vote before the November midterms.
But there's another senator who may hold the key to whether the GOP hangs together or heads for the tall grass. On Sunday Maine Republican Susan Collins told the New York Times that she considers the allegations of sexual assault serious and wants Ms. Ford interviewed to get her whole story. Just as telling, she made clear she finds the low and the last-minute nature of the way the Democrats handled the charges fishy.
""If they believed Professor Ford, why didn't they surface this information earlier so that he could be questioned about it?"" Ms. Collins said. ""And if they didn't believe her and chose to withhold the information, why did they decide at the 11th hour to release it? It is really not fair to either of them the way it was handled.""
Ms. Collins's complaints about fairness aren't easily dismissed. She's a strong advocate for women's rights; she announced in 2016 she wouldn't vote for Donald Trump; and she hasn't been afraid to buck her party, as when she voted against ObamaCare repeal. She's also firmly pro-choice but recently stood up to a nasty crowdfunding effort to bribe her into voting against Judge Kavanaugh over claims he would overturn Roe v. Wade.
In remarks to reporters Monday afternoon, Ms. Collins called for accuser and accused to testify before the Judiciary Committee under oath. Not long after that, the Judiciary Committee scheduled a one-day hearing Monday on the issue. Ms. Ford and Judge Kavanaugh will each be heard.
This is a risky accommodation, because the media and Democrats won't be satisfied no matter what Republicans do. But if it provides the space GOP senators need to move ahead to confirm Judge Kavanaugh, it may be the least damaging accommodation. The test is whether the hearing serves the purpose of keeping confirmation process close to schedule, or whether it will be turn into what the Democrats are really pushing for: the first of many delaying actions to come -- what one Judiciary Committee staffer describes as ""Borking 2.0.""
By all means let's hear what Ms. Ford has to say. But let us hope Ms. Collins insists it not be at the expense of fairness to Judge Kavanaugh. Because right now the effort to put off his confirmation votes seems aimed at establishing an odious, new post-hearing precedent, whereby a single, inconclusive and uncorroborated #MeToo accusation can upend all Senate norms and leave a man with an otherwise sterling reputation twisting in the wind."
wsj,Christine Blasey Ford vs. Brett Kavanaugh,"Regarding your editorial ""The #MeToo Kavanaugh Ambush"" (Sept. 18): I am watching with anger and sadness the Democrats' last-ditch effort to derail the confirmation of Judge Brett Kavanaugh for the Supreme Court. I wonder if the Democrats have thought this tactic out. If it works with an unverifiable accusation, who will be safe in the contentious midterm political campaign season finale in November? If Judge Kavanaugh, who has an impeccable reputation going back decades and has been through six very thorough background checks by the FBI, can be destroyed, who can't be?
Nancy Ingalsbee
Allegan, Mich.
---
As a wife and mother of a teenage son, I have sympathy for Christine Blasey Ford but find Mr. Kavanaugh's predicament truly terrifying. Ms. Ford doesn't know the day, month or even the exact year the alleged attack occurred. She doesn't describe herself as being drugged or drunk on arrival at the party, yet she seems unable to recall the address or even the general location of the house where the incident allegedly occurred, remembering only that it was somewhere in Montgomery County, Md. Presumably too young to drive, Ms. Ford cannot explain how she arrived at the party or how she returned home. She does remember wearing a swimsuit and being attacked by Mr. Kavanaugh in a bedroom, with Mark Judge looking on. Mr. Judge, the only other party guest whose name Ms. Ford can recall, vehemently denies the incident ever happened. Notes from a 2012 therapist visit by Ms. Ford reference the supposed attack, but don't mention Mr. Kavanaugh by name and contradict Ms. Ford's account of the number of people present.
Putting aside the utterly suspicious timing of the claim, how is Mr. Kanvanaugh supposed to defend himself against a charge that lacks any specificity whatsoever? How would your husband or son defend himself? If a qualified Supreme Court nominee can be derailed by an 11th-hour, 36-year-old attempted assault allegation that lacks a location, date, time and any witnesses, then the #MeToo movement has become a mockery.
Ronda Ross
Austin, Texas
---
My heart goes out to Judge Kavanaugh's young daughters and his wife who must live through this nightmare of allegations against their father and husband, respectively, that will forever cloud their lives. The #MeToo movement has gone too far when women use ""women's rights"" as an excuse to push an at best murky narrative of abuse that cannot be remembered in detail by the accuser or confirmed by credible evidence.
Sign me up for the #WhatGoesRoundComesRound movement, which I hope catches up with women who carelessly use their gender to destroy the reputation of other human beings.
Helen Alderson
Kennett Square, Pa.
---
As an 81-year-old woman I can still recall, after 70 years, an attempted sexual assault that happened to me. It is as clear to me now as the night it happened. I don't remember the names of any other families I babysat for, but I shall never forget my assailant's name. If he were alive, I am confident he would say he couldn't recall that anything happened.
Most men in no way understand the emotional impact unwanted sexual advances make on females of all ages. Most 17-year-old boys would probably forget or not recall jumping on a girl 36 years ago and trying to rip her clothes off. To them it would have been nothing more than a playful, maybe somewhat inebriated, antic.
The men in the Senate who are protecting their nominee are also from the age where men were ignorant (many still are) of the impact unwanted sexual advances have on a woman. I applaud Ms. Ford for coming forward. This wasn't an easy choice for her.
Fran Kassabian
Alameda, Calif.
---
""The vagaries of memory are well known,"" as you say. Perhaps Mr. Kavanaugh and Mark Judge, who were allegedly quite drunk, had their own memory lapse. Given that scenario, they could conceivably pass a lie detector test as well as Ms. Ford has. There is simply no way to know the truth for sure, and eventually we need to move on.
Bruce Bowers
Los Altos, Calif.
---
Do you honestly believe that an allegation of sexual assault against a Supreme Court nominee should be glossed over? I've been a therapist for over 40 years and know it is extremely rare that women lie about this because they know the public humiliation Anita Hill endured and that Ms. Ford is about to. Imagine putting your entire sexual history on display on national TV and being grilled by hostile senators willing to say and insinuate anything. Get serious. Things like morality, integrity and honesty are more important than anyone's political career.
John Lardy
Tucson, Ariz.
---
